Episode,Reward
1,7
2,-16
3,-18
4,-28
5,4
6,-3
7,-12
8,-30
9,-14
10,-14
11,-28
12,-24
13,-15
14,-20
15,-17
16,-5
17,1
18,-25
19,-15
20,-17
21,-23
22,-16
23,-14
24,-12
25,-22
26,-34
27,-16
28,-29
29,-18
30,-11
31,-24
32,-3
33,-27
34,-2
35,-20
36,-6
37,-14
38,-7
39,-21
40,-11
41,-8
42,4
43,-14
44,-11
45,-12
46,-15
47,-12
48,-10
49,-22
50,0
51,-14
52,-24
53,0
54,-16
55,6
56,-15
57,-2
58,-15
59,-12
60,-10
61,17
62,2
63,-18
64,-7
65,-1
66,-13
67,-19
68,-5
69,-27
70,-24
71,-16
72,-23
73,-9
74,-24
75,-30
76,-13
77,-5
78,-3
79,-25
80,-5
81,-8
82,-11
83,-15
84,-5
85,-9
86,-35
87,1
88,-20
89,-11
90,-8
91,-22
92,5
93,-21
94,-14
95,-8
96,-21
97,4
98,-14
99,-7
100,-9
101,14
102,-6
103,-19
104,-4
105,-15
106,-8
107,-24
108,-38
109,-15
110,-22
111,-10
112,-26
113,-7
114,-17
115,-30
116,-9
117,-24
118,-14
119,-15
120,3
121,-18
122,-3
123,-28
124,4
125,-4
126,-9
127,-10
128,-17
129,2
130,-29
131,-19
132,-13
133,-16
134,8
135,-14
136,-10
137,-19
138,0
139,-29
140,-33
141,-16
142,13
143,1
144,-24
145,5
146,-12
147,-15
148,-30
149,-8
150,-11
151,-15
152,10
153,-14
154,-20
155,-14
156,1
157,-30
158,-3
159,9
160,-6
161,-21
162,-17
163,-23
164,19
165,-14
166,-19
167,-3
168,-29
169,-17
170,-5
171,-18
172,-14
173,-13
174,-5
175,-19
176,3
177,-21
178,-12
179,-7
180,-24
181,-16
182,3
183,-4
184,-14
185,-17
186,-4
187,-17
188,-2
189,10
190,0
191,-30
192,7
193,-15
194,-30
195,-4
196,-12
197,14
198,-20
199,-8
200,-26
201,-22
202,-9
203,-11
204,-16
205,-3
206,2
207,-22
208,-17
209,-1
210,12
211,-34
212,-16
213,-5
214,-8
215,20
216,-27
217,1
218,-10
219,-2
220,31
221,-32
222,-6
223,-14
224,1
225,3
226,-2
227,-27
228,-18
229,-2
230,1
231,-12
232,-15
233,-1
234,-34
235,-19
236,-19
237,-18
238,6
239,-11
240,-11
241,-7
242,5
243,-23
244,-13
245,-16
246,-14
247,-23
248,-11
249,-7
250,-11
251,1
252,8
253,-18
254,-11
255,-27
256,-12
257,-7
258,-1
259,-14
260,-9
261,-17
262,-14
263,-13
264,0
265,5
266,9
267,-11
268,-18
269,-9
270,-5
271,-20
272,-9
273,-21
274,-29
275,-19
276,4
277,-13
278,1
279,-19
280,-10
281,-24
282,-26
283,-22
284,1
285,-18
286,-5
287,-16
288,-6
289,23
290,-19
291,-21
292,-16
293,-9
294,-16
295,-4
296,-4
297,-23
298,5
299,-11
300,-22
301,-13
302,-5
303,-33
304,-22
305,-25
306,10
307,-12
308,-28
309,-16
310,-9
311,-14
312,-2
313,-27
314,-27
315,-17
316,-1
317,-22
318,-17
319,4
320,-25
321,-11
322,0
323,-2
324,1
325,-4
326,5
327,-18
328,-33
329,-14
330,-13
331,-22
332,-6
333,-2
334,-3
335,9
336,-24
337,5
338,-20
339,-24
340,-16
341,6
342,-7
343,-1
344,-34
345,2
346,7
347,-25
348,-29
349,-13
350,-14
351,-13
352,-17
353,-26
354,-29
355,-31
356,-11
357,4
358,-16
359,-18
360,-17
361,14
362,7
363,-22
364,-26
365,-22
366,-8
367,-17
368,-18
369,2
370,-12
371,-6
372,-8
373,-17
374,6
375,-33
376,-12
377,4
378,27
379,-1
380,-14
381,-11
382,3
383,-24
384,-7
385,30
386,-21
387,-18
388,-6
389,-9
390,12
391,-9
392,3
393,-10
394,-23
395,-3
396,-11
397,9
398,-19
399,-21
400,9
401,8
402,-10
403,-24
404,-7
405,5
406,-12
407,-12
408,-8
409,-7
410,-1
411,-15
412,-12
413,17
414,-25
415,18
416,-14
417,-15
418,-33
419,-21
420,-11
421,-20
422,7
423,-6
424,-7
425,5
426,-17
427,-1
428,-14
429,-29
430,-14
431,4
432,-4
433,6
434,-20
435,-33
436,-13
437,5
438,-6
439,9
440,-9
441,-28
442,0
443,-7
444,-28
445,5
446,-21
447,-2
448,-16
449,-4
450,-13
451,-13
452,-6
453,-15
454,-2
455,-20
456,-9
457,-17
458,4
459,-11
460,-6
461,-18
462,0
463,-20
464,-12
465,-1
466,-26
467,-19
468,-11
469,-21
470,4
471,-16
472,-14
473,-13
474,-22
475,13
476,-6
477,-22
478,-20
479,-19
480,-24
481,-15
482,-12
483,-10
484,-5
485,24
486,-6
487,-12
488,-23
489,1
490,-14
491,-12
492,-7
493,-14
494,0
495,-4
496,-14
497,-26
498,-17
499,-17
500,6
501,8
502,-18
503,-21
504,-6
505,-9
506,-8
507,-23
508,-26
509,-9
510,-22
511,-19
512,-15
513,-6
514,-2
515,-13
516,-29
517,-26
518,-18
519,-35
520,-19
521,4
522,4
523,3
524,-10
525,-15
526,-29
527,-22
528,-34
529,-2
530,-7
531,-18
532,-9
533,-11
534,-34
535,-8
536,-26
537,-30
538,-24
539,-6
540,-17
541,-21
542,-18
543,-3
544,-9
545,3
546,3
547,7
548,-5
549,-19
550,-10
551,10
552,-2
553,-10
554,-9
555,-14
556,-16
557,-8
558,10
559,-21
560,2
561,-15
562,-11
563,-25
564,-28
565,-3
566,0
567,-4
568,-7
569,-22
570,-6
571,-6
572,-20
573,-29
574,-5
575,-30
576,-25
577,12
578,6
579,-9
580,-14
581,-13
582,-6
583,-16
584,1
585,-21
586,-23
587,-26
588,5
589,-18
590,-15
591,-21
592,-19
593,-10
594,-7
595,-15
596,-12
597,-22
598,-2
599,5
600,-9
601,-19
602,-24
603,-30
604,-20
605,-9
606,20
607,-12
608,-15
609,7
610,7
611,-15
612,7
613,-9
614,-17
615,-10
616,-20
617,-10
618,-8
619,2
620,-15
621,-21
622,-1
623,-9
624,-7
625,-5
626,-5
627,-27
628,-10
629,-15
630,-2
631,-10
632,-19
633,-29
634,-23
635,-5
636,-25
637,-10
638,21
639,-4
640,-14
641,-19
642,-21
643,11
644,2
645,7
646,-11
647,-26
648,1
649,-18
650,-26
651,4
652,-12
653,-10
654,-11
655,-17
656,-16
657,8
658,3
659,-19
660,-12
661,-9
662,-22
663,-25
664,-2
665,3
666,-3
667,-12
668,3
669,-9
670,-5
671,-5
672,-10
673,-24
674,2
675,-12
676,-33
677,-13
678,0
679,13
680,-14
681,-13
682,-10
683,-15
684,-17
685,-8
686,2
687,-18
688,-18
689,-20
690,-1
691,-19
692,-23
693,-8
694,-15
695,-14
696,-24
697,-30
698,-16
699,-20
700,-18
701,-17
702,-24
703,-36
704,-18
705,4
706,4
707,-25
708,-25
709,-17
710,-17
711,-23
712,-19
713,16
714,4
715,-8
716,-12
717,-31
718,-5
719,1
720,-20
721,6
722,-1
723,-3
724,-14
725,-25
726,-6
727,-10
728,-23
729,-4
730,0
731,-19
732,-15
733,-5
734,-25
735,-14
736,-24
737,-18
738,8
739,-23
740,-14
741,-8
742,-9
743,-17
744,22
745,-8
746,-32
747,8
748,-23
749,-9
750,-17
751,-13
752,-4
753,-6
754,7
755,-10
756,-16
757,-20
758,-19
759,-25
760,-20
761,-5
762,-8
763,2
764,-1
765,-12
766,-4
767,-23
768,-12
769,5
770,-19
771,-28
772,-3
773,10
774,-9
775,-15
776,-24
777,-13
778,-15
779,8
780,-16
781,-8
782,-2
783,-27
784,-3
785,30
786,-24
787,-14
788,-18
789,-17
790,-24
791,1
792,-22
793,-14
794,-17
795,-16
796,-17
797,-5
798,-6
799,-12
800,-35
801,-34
802,-17
803,-30
804,-19
805,-25
806,-18
807,-21
808,-33
809,-14
810,9
811,-5
812,-20
813,-3
814,-12
815,-15
816,9
817,-12
818,-18
819,-11
820,-3
821,-4
822,-28
823,-32
824,-4
825,7
826,-30
827,-23
828,6
829,22
830,-2
831,-3
832,-11
833,-20
834,-20
835,-12
836,-26
837,-22
838,-3
839,-18
840,20
841,-20
842,11
843,1
844,8
845,-3
846,-8
847,-30
848,15
849,-16
850,1
851,-23
852,-7
853,-26
854,-19
855,-3
856,-19
857,-12
858,2
859,9
860,-10
861,-14
862,-18
863,-23
864,-15
865,-4
866,-14
867,-6
868,-18
869,-12
870,0
871,-2
872,2
873,-3
874,-13
875,5
876,-22
877,-10
878,1
879,1
880,-12
881,-18
882,-7
883,-19
884,-10
885,-8
886,0
887,-16
888,-1
889,-8
890,-16
891,-22
892,-24
893,-11
894,-27
895,-25
896,6
897,-28
898,-20
899,-9
900,-13
901,-35
902,-17
903,-28
904,6
905,-8
906,10
907,-14
908,-7
909,-7
910,-27
911,-20
912,-2
913,-27
914,3
915,-2
916,-32
917,-13
918,-10
919,-15
920,-7
921,-18
922,9
923,-37
924,-3
925,-22
926,-18
927,0
928,-7
929,-14
930,-26
931,-10
932,-22
933,-10
934,-9
935,-11
936,-2
937,-20
938,-23
939,10
940,-19
941,-7
942,-21
943,-22
944,-12
945,-9
946,0
947,-2
948,-16
949,-9
950,-20
951,-14
952,0
953,-15
954,-10
955,-2
956,-20
957,-4
958,-20
959,-7
960,-16
961,-18
962,-21
963,-22
964,-11
965,-2
966,3
967,0
968,-2
969,-30
970,-20
971,-6
972,0
973,-9
974,-15
975,-22
976,-9
977,-19
978,-25
979,-21
980,-31
981,8
982,-4
983,-12
984,-21
985,-1
986,11
987,9
988,-5
989,-13
990,11
991,-6
992,8
993,3
994,-15
995,-9
996,-8
997,-12
998,-2
999,-6
1000,-2
1001,-17
1002,0
1003,-21
1004,1
1005,8
1006,-12
1007,0
1008,-12
1009,-1
1010,-18
1011,-21
1012,-8
1013,-19
1014,-5
1015,-5
1016,-24
1017,-18
1018,-11
1019,-20
1020,-1
1021,-18
1022,-30
1023,6
1024,-22
1025,9
1026,-32
1027,-2
1028,-22
1029,16
1030,-2
1031,-23
1032,-15
1033,-21
1034,-20
1035,-9
1036,-9
1037,-7
1038,-11
1039,-14
1040,-17
1041,-1
1042,-14
1043,-11
1044,-3
1045,-18
1046,-4
1047,-29
1048,-9
1049,-6
1050,1
1051,-11
1052,-24
1053,-13
1054,-15
1055,-9
1056,-9
1057,5
1058,19
1059,-7
1060,1
1061,9
1062,-16
1063,-22
1064,-21
1065,-21
1066,-6
1067,-5
1068,-18
1069,-10
1070,-10
1071,-24
1072,-29
1073,-1
1074,-26
1075,-33
1076,-5
1077,-20
1078,-19
1079,-20
1080,-10
1081,-16
1082,-14
1083,6
1084,-9
1085,-13
1086,-14
1087,10
1088,-21
1089,3
1090,-13
1091,2
1092,-12
1093,-8
1094,-19
1095,-25
1096,-8
1097,-16
1098,-18
1099,-10
1100,-28
1101,-25
1102,0
1103,-8
1104,-31
1105,-18
1106,-27
1107,-22
1108,-16
1109,-10
1110,-20
1111,-23
1112,-19
1113,-10
1114,12
1115,-1
1116,-2
1117,-8
1118,-26
1119,16
1120,-23
1121,-19
1122,-7
1123,-25
1124,21
1125,-17
1126,-7
1127,-1
1128,-4
1129,-19
1130,-25
1131,-27
1132,-4
1133,-24
1134,-10
1135,0
1136,-7
1137,-12
1138,0
1139,-27
1140,-7
1141,-21
1142,5
1143,-22
1144,-12
1145,-8
1146,-13
1147,6
1148,-11
1149,-16
1150,-8
1151,-28
1152,14
1153,-24
1154,-7
1155,-15
1156,-29
1157,-13
1158,-19
1159,-4
1160,4
1161,0
1162,-29
1163,-16
1164,-21
1165,16
1166,-23
1167,-3
1168,-27
1169,-29
1170,5
1171,-27
1172,-19
1173,-27
1174,-3
1175,-2
1176,8
1177,-2
1178,-7
1179,-6
1180,-16
1181,-25
1182,5
1183,-23
1184,-14
1185,-9
1186,-15
1187,13
1188,-18
1189,9
1190,-19
1191,0
1192,-22
1193,-10
1194,-10
1195,-19
1196,-29
1197,-23
1198,-9
1199,-21
1200,-24
1201,-5
1202,-5
1203,-18
1204,1
1205,12
1206,-5
1207,-17
1208,-8
1209,-7
1210,5
1211,-4
1212,-12
1213,-17
1214,8
1215,-27
1216,-9
1217,-9
1218,-9
1219,-24
1220,-21
1221,-7
1222,-32
1223,-16
1224,-6
1225,-11
1226,-24
1227,-18
1228,-5
1229,6
1230,-24
1231,-24
1232,-27
1233,-24
1234,0
1235,-36
1236,-30
1237,-20
1238,-35
1239,-25
1240,-22
1241,9
1242,-19
1243,3
1244,-22
1245,-7
1246,-3
1247,-3
1248,-21
1249,-31
1250,-3
1251,-26
1252,-22
1253,-14
1254,-31
1255,-11
1256,-2
1257,-24
1258,-7
1259,-19
1260,-4
1261,7
1262,-22
1263,-4
1264,7
1265,-6
1266,-19
1267,-7
1268,-34
1269,7
1270,-1
1271,1
1272,9
1273,-12
1274,-8
1275,-2
1276,-9
1277,9
1278,-16
1279,-3
1280,-23
1281,-16
1282,-6
1283,-14
1284,-2
1285,-31
1286,13
1287,-12
1288,-9
1289,-14
1290,-8
1291,-4
1292,-10
1293,-12
1294,1
1295,-3
1296,-24
1297,-20
1298,-35
1299,-3
1300,-9
1301,-26
1302,-13
1303,-6
1304,4
1305,-7
1306,-12
1307,-12
1308,9
1309,-19
1310,1
1311,-11
1312,-30
1313,-10
1314,-18
1315,-17
1316,-5
1317,10
1318,-22
1319,-4
1320,-13
1321,-6
1322,-15
1323,-13
1324,-20
1325,12
1326,5
1327,-8
1328,-16
1329,-15
1330,-18
1331,18
1332,9
1333,-29
1334,-15
1335,-13
1336,-24
1337,-8
1338,19
1339,13
1340,-16
1341,-19
1342,-15
1343,-29
1344,-19
1345,-8
1346,8
1347,8
1348,-14
1349,-15
1350,-11
1351,-22
1352,-15
1353,-17
1354,2
1355,-7
1356,-10
1357,-23
1358,-13
1359,-2
1360,-13
1361,-5
1362,2
1363,-14
1364,-10
1365,-18
1366,1
1367,-13
1368,-20
1369,-12
1370,-20
1371,-17
1372,0
1373,-24
1374,-24
1375,-15
1376,2
1377,-16
1378,9
1379,9
1380,-21
1381,-10
1382,-6
1383,0
1384,-2
1385,-17
1386,-6
1387,3
1388,-7
1389,-12
1390,4
1391,-11
1392,2
1393,-8
1394,-3
1395,-13
1396,-12
1397,-20
1398,-19
1399,-18
1400,8
1401,-10
1402,-14
1403,-7
1404,0
1405,5
1406,-5
1407,-19
1408,-7
1409,-9
1410,-4
1411,-15
1412,-28
1413,-19
1414,-18
1415,1
1416,-18
1417,-12
1418,6
1419,-28
1420,8
1421,-4
1422,-15
1423,-17
1424,-29
1425,-28
1426,-7
1427,-9
1428,4
1429,-13
1430,17
1431,-14
1432,-17
1433,-15
1434,-12
1435,-13
1436,-25
1437,4
1438,-21
1439,-28
1440,-5
1441,-14
1442,-6
1443,-6
1444,-15
1445,-15
